"id","text_only"
825817598025728002,"Hay que ser coherentes nada"
813822648404713472,"bienestar energa que puede darme xdistn Cuenca Ecuador"
843897358966538241,"Conector Cat Unidades"
836080574251024385,"very proud one wants someone like that for his life"
818501907056590848,"donde deje barba"
837114350360006657,"Trump anunci ayer comenzara construccin del muro pero solo tiene los xdistllones necesita"
819615900424929281,"Corbata maosa"
837441216090361856,"Happy birthday Tanishaa wish you the Best the World Greetings from Per"
837626163799420928,"saludos lluvia macas morona santiago"
822811959674499073,"the posing for picture"
778094724246888448,"Demasiado tarde"
822090117556895744,"Desbloqueamos iPhone ATampT mejor precio del mercado Todos los modelos son soportados"
818558924647464960,"Hola podran poner por favor"
828453813782716417,"Amaranta Graciela sus aitos celebr con sus amigos sus abuelitos con"
773673776387133442,"Alguien debe sentir que dieron trompa bien dado recomiendo humildocimina general generalsimo"
765303785061220354,"Porque Combate Bacn"
819327733461225473,"jauregui polo norte"
761802644369399808,"GRACIASCON ESTA DESPIDO"
774039235036848128,"Guayaquil Ecuador"
835632138401742848,"quieres aprender maquillarte pero dispones poco tiempo invitamos nuestro Taller"
773362343011024896,"Descansando casita Joya Esmeralda Sequilla Guayas"
815025223808393217,"Just posted photo Ambato Ecuador"
814833156843012096,"necesita prefectura para reconstruir puentes arrasados por Nambija"
826599657795117057,"you might interested this Industry Trends report"
820301701462822913,"Materiales Construccin IPE Inmobiliaria Construimos sueo IPE Asesora Inmobiliaria"
836794416786518016,"Mis hijos valen mucho mas que precio pueda poner"
766261100828647424,"refugien alcohol las drogas esas vainas tenemos hacinamiento"
847442162903941125,"Hoy invita Espritu Santo vida escucha voz"
825336179155468288,"Rafael Correa viaja los pases con votantes"
769387247514816512,"DIOS AYUDAME SER FUERTE ESTOY SIENTIENDO NADA BIEN"
815651707275382790,"Como sigues primero enero las Via Samborondon"
843942869517783040,"Medicina por todos lados Cuenca Ecuador"
843302003786833922,"Junto nuestro director provincial recorrimos invitando ciudadana votar por LEE"
761667937178488833,"solo dejate llevar por musica"
883047788896034821,"EnjoyGO Maneste ombligo del mundo Conexin"
818134589285826562,"Colimes Balzar"
775063112911351808,"juega Serie Fecha"
842368108727816193,"informa realizar conteo rpido prximos comicios del abril"
842356920153436160,"ANLISIS ELECTORAL pide refuerzo extranjero"
815758712077975552,"caso empate Quien queda con campeonato NFC Norte los los por que Saludos"
838441938370117632,"gente estupida"
832717606675214336,"Unidad para las Vctimas financiar proyectos sociales siete municipios Nario"
841132204856094720,"Hola Voy seguir TODOS que siguen Cumplo Seguidor Seguro"
830782140811968513,"Gana una vuelta Mundo gratis con sueldo gracias MolaViajar"
815059825264574468,"Cdla Limonal"
823947453078630401,"Que risa broder"
840709326125821952,"previa los arrancamos Bosques Costa Via Costa"
830220707204308993,"Estudiantes campeon"
829513650931191809,"sern elecciones para Consejo Acadmico Superior docentes estudiantes empleadostrabajadores egresados"
823618167780081664,"Los necesitamos"
882552559596077056,"CNCO Colombia"
763419597655670785,"Tengo locales amplios alquiler Rimac Chorrillos Cel"
884074861940879360,"nueva casa tambin est bamb"
842240587197755392,"Pal feis"
812647506681233408,"Una linda noche junto grandes amigas Jac Caf amp Music"
766437633367105536,"voy por camiseta gcs"
833886236037242880,"tambin conoc una persona pens que llegara ser tan importante"
811995730986627072,"con cuando tocamos Real Felipe por camara apunt otro lado ser"
815984796316946432,"Mantener puede resultar mas doloroso que soltar"
777701672801927168,"Payaso pngase los pantalones sali Cartagena control"
844373029308305408,"Responsables cadena custodia"
836425368370360323,"que supe los salones aprend canciones"
831132792293642240,"crims humwar crims swissperureq contact trump accus uncontact haley accus peru icchelga suarez cla"
838227606810021888,"Quin cmo llama"
825841401799835648,"Hasta prxima Ocean Club Hotel amp Resort"
775742455912300545,"Pasa tiempo sigo queriendo"
812144578551808000,"Encuentra DESEOS ESCORTS AGENCIA ELITE NACIONAL VIP EXCLUSIVAS PARA USTEDES"
845140820613185541,"disparaste primero"
777284958968774656,"foto que subi hoy debi ser primera"
824367225473822720,"Ingresa dale like quieres que pase"
830973981897404416,"resumen que prcticamente todos los equipos del ftbol ecuatoriano han visto manchados por Hasta LDU con los Paz"
766674683492040704,"Estoy crucificado con Cristo vivo pero soy Cristo quien vive Glatas"
827701648692744192,"Helio Carreiro Silva HELINHO mejor arquero extranjero que ataj Barcelona"
826488150704926720,"Fin rotacin Gracias HEG Hospital Enrique Garces"
819224168285736962,"candidatos participan este acto futur"
846883904300748800,"Periodista militanteAquel que interpreta realidad travs una tesis reteniendo los datos que convienen sustento Fountaine"
839465447263244288,"Para ser sublime del universo MUJER feliz que mejor hacerlo con una cancin del Divino Perales"
845167066353057796,"que sirve amar hay gente que vale pena por simple hecho que tienen principios del verdadero"
834799142840963072,"HOY Ven Tema Recurso apelacin Corte Provincial"
822875900450512898,"Juez empieza ser Tendencia con tweets ocupando posicin Ecuador"
811459895274930176,"just finished cycling xdist xtime with"
839594543087513602,"Vamos Bara dificil pero imposible"
762163073557917697,"Pronto"
824288144644251649,"VIDEO Dirincri investiga desaparicin computadoras patrulleros"
834114472889380864,"Que comience carnaval"
841467816519827456,"Quin crees que falt convocatoria TRI para los partidos ante Paraguay Colombia Junior Sornoza Jaime Ayov John Cifuentes"
842866242943930368,"Jefa Poltica del Cantn Tulcn Lupe Caicedo coordinar acciones con Secretara Gestin Riesgos"
765625737072283648,"JAJAJAJAJAJAJAJAJAJAJA VOLVI COMER AGERO"
837108224708886528,"Gabriel Cortez acaba convertirse ocupando posicin Ecuador"
822260538587643904,"Van Basten era crack tremendo goleador hasta"
822631783023910912,"Quin dijo miedo chucha Comienza recoger para comprar esa patucha unaExclam dulce tierna princesa con ganas beber"
811701437780652033,"das follow prometo ver"
842198837217394692,"Que diferentes podremos hacerlo nosotros"
815415589887942656,"Correccion calle marzo record venta monigites"
767523648991264769,"nico bueno maana que tengoo vacaciones"
834566136960212993,"Zuricatas sonren por causa"
841817284393992192,"Soy demasiado celoso"
838874984219041794,"Visitar comunidades cantones escuelas parte nuestra misin Este fin seman estuvimos Carceln presen"
763138848440324097,"Expresidente Chile niega investigacin Argentina por corrupcin"
822528152320622592,"Ene Saludos amistad cumpleaos Cynthia Chiu Ortiz Muchas Felicidades amiga exitos"
765993235449806849,"Queremos"
884845624469880832,"See you dreams Quito Ecuador"
830778193229385729,"kilometros que valen alegra correr Camino Quinta Las Mercedes"
833856703959539712,"Que lindo ver Lucero nacional"
834744354325536770,"Supongamos quedo Gye Supongamos porque voy Manab"
765225716220829697,"Bolsa Valores Lima inicia sesin alza por acciones mineras"
838453963238277120,"Estoy atrasada eso que quede viendo"
831579747675172865,"cual difrencia drogo fuma vende delincuente nada enfermo"
838078314669568000,"FRENTE PROFESIONALES INDEPENDIENTES PRO CANDIDATURA LENN MORENO con ministro Fernando"
815260878492864512,"indestructible los piratas antao los ahora han podido destruirlo"
821406097856757762,"Espaol Guayaquil Guayas"
826411457730473984,"Por importante capacitar personal empresa manejo TIC"
841808615329697794,"Just like moth drawn flameOh you lured couldnt sense the pain Abraham Mateo"
829723515112783873,"Esta foto encontr bandeja salida email antao"
822571949486379012,"Just posted photo Base Aerea Mariscal Sucre"
845047883997032448,"Vamos Per contigo las buenas las malas"
883326185777790976,"Revisa este anuncio desde los gratis OLX"
844992469926326272,"pronto"
825913708572454912,"Retomamos nuestras actividades Empezamos Pronto"
829485484833280000,"Caso Petroecuador instal audiencia por segundo consecutivo"
882960428099407872,"Woke this outside our hotel Banos Ecuador"
845021446825000963,"Aiuda"
770007352581955584,"Amo que hagas feliz"
813595836315828225,"Estamos contigo Emily entendemos"
833782680307302402,"Ante situacin del pas sobre resultados por parte pedimos celeridad entrega resultado"
831134260853620737,"Cuesta trabajo creer que perodos gobierno AGP ejecutivo negociara sus espaldas haber sido que liderazgo ufana"
847221127650979840,"Los mejores beneficios los Farmacias Cruz Azul Recibe productos gratis todo gracias"
765038115526500352,"Dentro del play list para trotar"
842779325502017537,"colorado tambin castillo que jug cuenca"
845166125486751744,"love with your body"
760999199815168000,"Quin dijo que puede volar creativamente con una promo"
817110068453920768,"ONU cesa cuatro observadores Colombia tras baile con las FARC"
773518593174757376,"Ahora solo nos queda Barcelona"
763547437403373568,"voz expande por Sudamrica entera paso espritu rebelde ese infatigable corajeAmo soberano ecuatoriano"
839167587586035712,"Slo estar con Guayaquil Ecuador"
846459227384242176,"Poblacin agradece por los logros alcanzados favor sus derechos tra"
817603342084042754,"entiendo porque Facebook quiere saber Acaso meto vida que fastidio encama"
827013607682621440,"MantaEcuadorParroquia Eloy Alfaro"
832020409130311680,"que vale extraarte puedo tenerte cama"
843936499565547520,"desarrolla Quito Mesa Jvenes Participan organizaciones juveniles del pas que respaldan"
831542219530174464,"Siento que esta corriente poner descubierto los casos corrupcin tiene una finalidad correccin moralizacin social"
838869069969375233,"Nuevo Comandante defraude pueblo ecuatoriano Las acciones nuestras herencia nuestros"
767912780246687744,"First Mashup"
766920023663271936,"Hoy cumple aos esta hermosa talentosa mujer voz tan increble como ella"
825050765987307520,"Jajajaja peor que estoy influye gente"
840195384160980995,"Llego Gran DaHoy debuta Nuestra seleccinApoyaryala con todo"
846591757101993984,"sirvo para turistear nada porque como horas"
819268637395734530,"respuesta trivia diplomtica"
820500539704283138,"Secretario General habla sobre destaca papel"
846780945575432192,"una Muy Buena Idea Cree Buenas Tardesss Saludos Una Machalea que apoya todo"
831833558528450560,"Pero para supe vivir"
835350148611977217,"aprendido que los principios dan miedo que los finales son tristes que importante camino que queda por recorrer"
837104974224048128,"Zuricatas sonren por"
834489966176595968,"Igual pap Quito Ecuador"
883819138711465985,"Graduacin flaca Dra favorita dalitabarros"
775789225392402432,"despus meses atrap otro Pokemon DIgual flojera desinstalar"
824281856321482752,"Nadie cambiar cambias sola"
837784801327398912,"perdi DNI TERCERA VEZ VAN MATAR"
812760273916399616,"Jajajajajajajajaja"
775901430968451072,"with repostappGetting acquainted with the"
847090904171204609,"Prefecta Orellana Orellana inform ciudadana sobre varios temas relevantes para Provincia"
833118436209332225,"gan muchos bloqueos artistas por defender Rous jajajaja"
828068391592288258,"Fin semana Pasaje Oro Ecuador"
814939779527806976,"Sitio Venta Crdito Sector BellavistaTuri CuencaEcuadorPrecio"
812571788660080640,"Esos encuentros ascensor que repitan para toda vida"
842938827031351296,"Buscar otro lugar donde hacer misma payasada"
885168579699757057,"Ustedes suben ego cualquier digna creadora cuentas fake"
827901312767492096,"hoy duermes cama"
846934917430886400,"perfilan las cejas ponen brillo las uas hacen manipedi etc etc"
775477713951940608,"ahora una tendencia Ecuador"
769263724972609536,"las intensas Pancholovers que van evento pidan Busca"
763521923104071680,"los besos quitaran dolor cabeza broder tendra migraa unas personas"
811390810784727040,"was out cycling xdist with"
